advertising_spend,num_salespeople,avg_price,sales
5000,10,25,45000
7500,12,30,62000
3000,8,20,28000
10000,15,35,89000
6000,11,28,51000
8500,13,32,72000
4000,9,22,36000
12000,18,40,105000
5500,10,26,47000
7000,12,29,58000
9500,14,33,82000
4500,9,24,41000
6500,11,27,55000
8000,13,31,68000
3500,8,21,32000
11000,16,38,96000
5000,10,25,44000
7200,12,30,61000
4200,9,23,38000
9000,14,34,78000
13000,19,42,115000
6800,11,29,57000
8800,13,33,74000
4800,10,25,43000
11500,17,39,100000
5200,10,26,46000
7600,12,31,64000
3800,8,22,34000
10500,15,36,92000
6200,11,28,53000
9200,14,33,80000
4600,9,24,42000
12500,18,41,110000
5800,11,27,50000
7800,12,31,66000
10000,15,35,88000
6400,11,28,54000
8200,13,32,70000
4400,9,23,40000
11800,17,40,104000
5600,10,27,48000
7400,12,30,63000
3600,8,21,33000
9800,14,34,84000
13500,20,43,120000
6600,11,29,56000
8600,13,32,73000
4900,10,25,44500
12200,18,40,108000
14000,21,45,128000
